index,x,y
1,-1399,-9163
2,7682,1395
3,1923,-3487
4,-3565,-6434
5,-7516,2175
6,-8931,7759
7,-3670,-5549
8,-1921,-3477
9,-9192,-8389
10,-2488,5245
11,-4456,-4526
12,-6979,588
13,1642,1289
14,-4753,-7981
15,-499,1521
16,386,-1016
17,7415,-8822
18,9871,9129
19,-8137,-407
20,-9086,6755
21,-6159,2777
22,146,-8122
23,-6451,-4629
24,7419,1342
25,-8071,-2456
26,-3478,-8916
27,-7395,501
28,-4878,1878
29,-9548,2876
30,-1804,-2034
31,-644,-7789
32,-4493,-3401
33,-824,-4750
34,61,-7819
35,2207,-6467
36,-9797,-2976
37,6187,-4325
38,3809,3031
39,-8625,8381
40,1259,-573
41,-4885,3384
42,1938,-3974
43,4907,5134
44,-8479,3002
45,2577,-3401
46,-485,-8420
47,1145,-9146
48,-6969,7214
49,-8098,-1897
50,5923,-8915
51,-1458,6642
52,-7207,-4706
53,-1836,1531
54,-9590,8427
55,-7065,1430
56,-6103,324
57,-293,-8946
58,5661,-2776
59,9401,-4178
60,-8582,-625
61,3633,-1671
62,-2347,-2050
63,2384,9150
64,-6704,-3011
65,-1364,-8582
66,-6938,1001
67,-3395,-2178
68,4502,-2742
69,-1968,-2012
70,-9977,-1180
71,5878,1425
72,-2905,-4448
73,7175,7022
74,-5659,-1388
75,-7071,-5840
76,-9835,-8358
77,-7061,-9419
78,-8881,9612
79,-5477,-9593
80,-84,6834
81,-1320,6886
82,-6538,8644
83,1399,-1386
84,-9123,3416
85,-8575,-7731
86,3604,-1282
87,-7970,990
88,71,-6556
89,-7210,-1540
90,2276,-8542
91,-2511,-9126
92,-5834,-9331
93,2159,1908
94,3427,5331
95,982,5548
96,-8303,-8158
97,5408,-9564
98,3451,-7315
99,-4169,5542
100,-9957,4451
101,4031,-6622
102,-3722,-5382
103,-4718,-7235
104,1520,-1603
105,4416,-8231
106,2692,7865
107,2001,169
108,2954,-6193
109,-5467,6337
110,-7643,5018
111,1507,-5172
112,-7371,-4431
113,-807,-2124
114,9222,-7091
115,-7365,-7851
116,6858,-1198
117,6996,-8105
118,3742,-2881
119,-8101,-8814
120,178,-1108
121,4798,3468
122,2221,2058
123,-4683,5215
124,5877,-5051
125,-9491,3869
126,-3976,-1340
127,-6985,-4234
128,-6146,2220
129,-7885,-3292
130,-1686,-1457
131,4976,2696
132,-9193,9216
133,-8576,-4968
134,-2324,-9675
135,1534,7322
136,-3951,-8419
137,5808,-9031
138,7586,1005
139,-4216,-5667
140,-9749,-1466
141,-6648,-6121
142,2240,8623
143,-3075,8750
144,181,9010
145,-6341,1871
146,3751,1932
147,-852,6172
148,-4210,-5521
149,-8389,9254
150,-123,-5637
151,-2597,7237
152,9251,-8064
153,8564,-3686
154,-1730,-8733
155,65,-5385
156,-955,-8998
157,4202,8706
158,-6208,-880
159,-7106,2339
160,6118,7486
161,-958,-7662
162,6940,-3912
163,148,-6649
164,6797,-2772
165,-8737,6556
166,-1137,-3751
167,7602,-9676
168,1150,-5598
169,-6366,-9196
170,-8446,7597
171,-490,4343
172,-5424,1199
173,5962,6752
174,5919,-5994
175,-1566,3881
176,2320,-4493
177,-2710,-8935
178,-5065,-165
179,1190,-1855
180,4954,5666
181,-2172,8240
182,741,-6108
183,-9400,-4127
184,9221,1663
185,1932,6560
186,821,4330
187,6432,-9664
188,-4595,-8952
189,1798,472
190,1287,1066
191,1824,1389
192,4103,-7890
