index,x,y,z
1,-629,-781,819
2,141,281,257
3,37,-974,-840
4,-168,-348,531
5,-812,-231,-513
6,321,749,-221
7,-897,-950,541
8,788,692,-48
9,-251,361,784
10,-273,-437,-295
11,-650,-51,-971
12,922,-410,768
13,-769,-93,235
14,543,-481,641
15,-736,-810,-19
16,296,-813,931
17,512,-767,752
18,-495,826,-334
19,240,978,757
20,-874,-986,-299
21,245,751,-619
22,-803,868,888
23,-314,-494,-295
24,-802,749,-754
25,-929,391,703
26,397,-154,-916
27,-222,-186,156
28,662,86,291
29,165,-407,-813
30,-241,283,-862
31,646,123,698
32,-368,224,-745
33,738,601,281
34,-128,664,925
35,-326,-932,-440
36,-151,371,-893
37,-477,-68,-95
38,895,-18,-219
39,-489,401,-302
40,-21,621,-956
41,194,285,28
42,221,873,-672
43,864,796,-778
44,246,-554,-782
45,911,-549,742
46,377,923,913
47,-986,-650,-173
48,742,664,-374
49,317,971,-439
50,-357,831,-313
51,-974,-308,-633
52,761,-362,261
53,-687,568,-359
54,-962,-883,-913
55,730,-147,-8
56,-657,428,-223
57,18,-821,622
58,-270,-244,-669
59,422,427,811
60,524,-81,420
61,554,608,105
62,73,711,-245
63,585,308,-304
64,921,-104,139
65,-503,-677,-444
66,428,178,-409
67,-960,-446,-998
68,127,-997,-158
69,831,829,-234
70,-584,309,-889
71,879,9,-526
72,593,838,803
73,943,-416,-606
74,436,-866,774
75,-446,538,673
76,-800,221,-481
77,-991,248,214
78,-759,-397,-949
79,414,-537,644
80,-768,410,380
81,-104,-843,-62
82,-270,4,962
83,23,-17,731
84,94,-306,464
85,40,-422,659
86,-834,-992,-168
87,-946,-306,151
88,-884,909,406
89,351,574,680
90,758,97,940
91,517,985,735
92,700,-373,-914
93,-827,644,620
94,-231,-176,-203
95,333,926,908
96,389,-89,-50
97,354,620,426
98,-76,693,857
99,630,-689,-364
100,323,-51,-176
101,136,-992,996
102,210,-544,41
103,149,427,513
104,-107,572,-212
105,894,692,-599
106,804,735,-22
107,-652,-546,-880
108,520,-802,805
109,-321,310,497
110,995,269,-407
111,-577,265,-507
112,91,-594,-513
113,323,204,-542
114,-528,-620,-833
115,-405,72,436
116,864,-483,-455
117,-973,818,744
118,-373,-748,-415
119,192,-472,-150
120,988,883,-305
121,742,-692,449
122,-809,391,374
123,583,323,-750
124,88,871,715
125,53,-772,805
126,-314,-952,755
127,-392,757,999
128,241,324,-655
129,-564,397,-234
130,-811,-835,-530
131,167,-497,-717
132,-647,475,-464
133,344,709,486
134,-114,446,269
135,-558,-573,174
136,54,821,955
137,596,296,83
138,6,499,640
139,308,987,435
140,478,396,370
141,276,-511,-272
142,387,-749,-745
143,-446,-57,276
144,363,-626,-50
145,390,363,525
146,-48,167,-353
147,-638,-621,159
148,-455,-872,-454
149,-931,89,796
150,-658,722,-700
151,-40,329,-233
152,-220,-696,409
153,-865,388,110
154,-702,-57,701
155,268,-337,190
156,-202,-131,-488
157,352,-100,832
158,157,-819,-655
159,918,288,114
160,302,-479,158
161,615,-14,-130
162,836,103,407
163,-153,-521,215
164,-163,421,-502
165,-56,302,-78
166,-98,58,594
167,323,309,-857
168,-184,-31,-191
